emoji,emoji_unicode,emoji_description_hyphen,emoji_description_space,translated_description
🕋,0x1f54b,kaaba,kaaba,天房
🕌,0x1f54c,menorah,menorah,烛台
🕜,0x1f55c,one-thirty,one thirty,三十分之一
🕝,0x1f55d,twelve-thirty,twelve thirty,十二点三十分
🕺,1F57A,man-dancing,man dancing,跳舞的男人
🖕,0x1f595,middle-finger,middle finger,中指
🖖,0x1f596,vulcan-salute,vulcan salute,瓦肯敬礼
🖤,1F5A4,black-heart,black heart,黑心
🗻,0x1f5fb,mount-fuji,mount fuji,富士山
🗼,0x1f5fc,moai,moai,美丽的
😀,1F600,grinning-face,grinning face,笑脸
😁,0x1f601,beaming-face-with-smiling-eyes,beaming face with smiling eyes,脸上带着微笑的眼睛
😂,0x1f602,grinning-squinting-face,grinning squinting face,眯着眼睛笑的脸
😇,0x1f607,smiling-face-with-halo,smiling face with halo,带光环的笑脸
😈,0x1f608,smiling-face-with-horns,smiling face with horns,带角的笑脸
😉,0x1f609,winking-face,winking face,眨眼的脸
😊,0x1f60a,smiling-face-with-heart-eyes,smiling face with heart eyes,微笑的脸和心形的眼睛
😎,1F60E,smiling-face-with-sunglasses,smiling face with sunglasses,戴着墨镜的笑脸
😏,1F60F,smirking-face,smirking face,傻笑的脸
😐,1F610,neutral-face,neutral face,中性面孔
😑,1F611,expressionless-face,expressionless face,面无表情
😒,0x1f612,unamused-face,unamused face,不高兴的脸
😓,0x1f613,pensive-face,pensive face,沉思的脸
😕,1F615,confused-face,confused face,困惑的脸
😖,1F616,confounded-face,confounded face,困惑的脸
😗,1F617,kissing-face,kissing face,亲吻脸
😘,1F618,face-blowing-a-kiss,face blowing a kiss,脸飞吻
😙,1F619,kissing-face-with-smiling-eyes,kissing face with smiling eyes,带着微笑的眼睛亲吻脸
😚,1F61A,kissing-face-with-closed-eyes,kissing face with closed eyes,闭着眼睛亲吻脸
😛,1F61B,face-with-tongue,face with tongue,用舌头面对
😜,0x1f61c,winking-face-with-tongue,winking face with tongue,用舌头眨眼的脸
😝,0x1f61d,disappointed-face,disappointed face,失望的脸
😟,1F61F,worried-face,worried face,担心的脸
😠,0x1f620,angry-face,angry face,愤怒的脸
😡,0x1f621,sad-but-relieved-face,sad but relieved face,悲伤但如释重负的脸
😦,0x1f626,frowning-face-with-open-mouth,frowning face with open mouth,张开嘴皱着眉头
😧,0x1f627,anguished-face,anguished face,痛苦的脸
😨,0x1f628,fearful-face,fearful face,恐惧的脸
😩,0x1f629,tired-face,tired face,疲惫的脸
😬,1F62C,grimacing-face,grimacing face,鬼脸
😭,1F62D,loudly-crying-face,loudly crying face,大声哭泣的脸
😮,0x1f62e,face-with-open-mouth,face with open mouth,张开嘴的脸
😯,0x1f62f,hushed-face,hushed face,安静的脸
😰,0x1f630,anxious-face-with-sweat,anxious face with sweat,满脸焦急满头大汗
😱,0x1f631,flushed-face,flushed face,脸红了
😴,1F634,sleeping-face,sleeping face,睡脸
😵,1F635,face-with-crossed-out-eyes,face with crossed out eyes,眼睛被划掉的脸
😶,1F636,face-without-mouth,face without mouth,没有嘴的脸
😷,0x1f637,face-with-medical-mask,face with medical mask,带着医用口罩的脸
😸,0x1f638,weary-cat,weary cat,疲倦的猫
🙁,0x1f641,slightly-frowning-face,slightly frowning face,微微皱眉的脸
🙂,0x1f642,face-with-rolling-eyes,face with rolling eyes,翻白眼的脸
🙅,0x1f645,person-gesturing-NO,person gesturing NO,打手势“不”的人
🙆,0x1f646,folded-hands,folded hands,双手合十
🚀,1F680,rocket,rocket,火箭
🚁,0x1f681,helicopter,helicopter,直升机
🚂,0x1f682,locomotive,locomotive,机车
🚃,0x1f683,railway-car,railway car,火车车厢
🚄,0x1f684,bullet-train,bullet train,子弹头列车
🚆,1F686,train,train,火车
🚇,1F687,metro,metro,地铁
🚈,1F688,light-rail,light rail,轻轨
🚉,1F689,station,station,车站
🚊,0x1f68a,tram,tram,电车
🚋,0x1f68b,tram-car,tram car,有轨电车
🚌,1F68C,bus,bus,公共汽车
🚍,1F68D,oncoming-bus,oncoming bus,迎面而来的巴士
🚎,1F68E,trolleybus,trolleybus,电车
🚏,1F68F,bus-stop,bus stop,公交车站
🚐,1F690,minibus,minibus,小巴
🚑,0x1f691,ambulance,ambulance,救护车
🚒,0x1f692,police-car,police car,警车
🚔,1F694,oncoming-police-car,oncoming police car,迎面而来的警车
🚕,1F695,taxi,taxi,出租车
🚖,1F696,oncoming-taxi,oncoming taxi,迎面而来的出租车
🚗,1F697,automobile,automobile,汽车
🚘,1F698,oncoming-automobile,oncoming automobile,迎面而来的汽车
🚙,0x1f699,sport-utility-vehicle,sport utility vehicle,运动型多用途车
🚚,0x1f69a,delivery-truck,delivery truck,送货卡车
🚛,0x1f69b,articulated-lorry,articulated lorry,铰接式货车
🚜,0x1f69c,aerial-tramway,aerial tramway,空中缆车
🚢,1F6A2,ship,ship,船
🚣,1F6A3,person-rowing-boat,person rowing boat,划船的人
🚤,0x1f6a4,speedboat,speedboat,快艇
🚥,0x1f6a5,horizontal-traffic-light,horizontal traffic light,水平交通灯
🚦,1F6A6,vertical-traffic-light,vertical traffic light,垂直交通灯
🚧,0x1f6a7,construction,construction,建造
🚨,0x1f6a8,no-smoking,no smoking,禁止抽烟
🚮,0x1f6ae,litter-in-bin-sign,litter in bin sign,垃圾桶标志中乱扔垃圾
🚯,0x1f6af,non-potable-water,non potable water,非饮用水
🚲,1F6B2,bicycle,bicycle,自行车
🚳,0x1f6b3,no-bicycles,no bicycles,自行车禁行
🚴,0x1f6b4,person-mountain-biking,person mountain biking,骑山地自行车的人
🚶,1F6B6,person-walking,person walking,行走的人
🚷,0x1f6b7,no-pedestrians,no pedestrians,行人禁止通行
🚸,0x1f6b8,children-crossing,children crossing,儿童穿越
🚹,0x1f6b9,men’s-room,men’s room,男厕所
🚺,0x1f6ba,water-closet,water closet,洗手间
🚿,1F6BF,shower,shower,淋浴
🛀,1F6C0,person-taking-bath,person taking bath,洗澡的人
🛁,0x1f6c1,bathtub,bathtub,浴缸
🛂,0x1f6c2,left-luggage,left luggage,行李寄存
🛌,1F6CC,person-in-bed,person in bed,床上的人
🛐,1F6D0,place-of-worship,place of worship,宗教场所
🛑,0x1f6d1,stop-sign,stop sign,停止标志
🛒,0x1f6d2,shopping-cart,shopping cart,购物车
🛕,1F6D5,hindu-temple,hindu temple,印度教寺庙
🛖,0x1f6d6,hut,hut,小屋
🛗,0x1f6d7,elevator,elevator,电梯
🛜,1F6DC,wireless,wireless,无线的
🛝,0x1f6dd,playground-slide,playground slide,游乐场滑梯
🛞,0x1f6de,ring-buoy,ring buoy,环形浮标
🛫,0x1f6eb,airplane-departure,airplane departure,飞机起飞
🛬,0x1f6ec,airplane-arrival,airplane arrival,飞机到达
🛴,0x1f6f4,kick-scooter,kick scooter,踢滑板车
🛵,0x1f6f5,canoe,canoe,独木舟
🛷,0x1f6f7,sled,sled,雪橇
🛸,0x1f6f8,flying-saucer,flying saucer,飞碟
🛹,1F6F9,skateboard,skateboard,滑板
🛺,1F6FA,auto-rickshaw,auto rickshaw,自动人力车
🛻,0x1f6fb,pickup-truck,pickup truck,皮卡车
🛼,0x1f6fc,roller-skate,roller skate,溜冰鞋
🟠,0x1f7e0,orange-circle,orange circle,橙色圆圈
🟡,0x1f7e1,brown-square,brown square,棕色方块
🟰,1F7F0,heavy-equals-sign,heavy equals sign,重等号
🤌,1F90C,pinched-fingers,pinched fingers,捏手指
🤍,0x1f90d,white-heart,white heart,白心
🤎,0x1f90e,pinching-hand,pinching hand,捏手
🤐,0x1f910,zipper-mouth-face,zipper mouth face,拉链嘴脸
🤑,0x1f911,sign-of-the-horns,sign of the horns,角的标志
🤙,0x1f919,call-me-hand,call me hand,叫我手
🤚,0x1f91a,crossed-fingers,crossed fingers,交叉手指
🤟,1F91F,love-you-gesture,love you gesture,爱你的手势
🤠,0x1f920,cowboy-hat-face,cowboy hat face,牛仔帽脸
🤡,0x1f921,sneezing-face,sneezing face,打喷嚏的脸
🤨,0x1f928,face-with-raised-eyebrow,face with raised eyebrow,扬眉的脸
🤩,0x1f929,exploding-head,exploding head,爆炸头
🤰,1F930,pregnant-woman,pregnant woman,怀孕的女人
🤱,0x1f931,breast-feeding,breast feeding,母乳喂养
🤲,0x1f932,palms-up-together,palms up together,手掌向上并拢
🤳,0x1f933,selfie,selfie,自拍
🤴,0x1f934,person-fencing,person fencing,人击剑
🤼,0x1f93c,people-wrestling,people wrestling,人们摔跤
🤽,0x1f93d,person-playing-handball,person playing handball,打手球的人
🤿,1F93F,diving-mask,diving mask,潜水面具
🥀,0x1f940,wilted-flower,wilted flower,枯萎的花
🥁,0x1f941,goal-net,goal net,不要瞄准
🥇,0x1f947,1st-place-medal,1st place medal,第一名奖牌
🥈,0x1f948,martial-arts-uniform,martial arts uniform,武术服
🥌,1F94C,curling-stone,curling stone,冰壶石
🥍,0x1f94d,lacrosse,lacrosse,长曲棍球
🥎,0x1f94e,flying-disc,flying disc,飞盘
🥐,0x1f950,croissant,croissant,羊角面包
🥑,0x1f951,pancakes,pancakes,薄煎饼
🥟,0x1f95f,dumpling,dumpling,饺子
🥠,0x1f960,canned-food,canned food,罐头食品
🥬,0x1f96c,leafy-green,leafy green,绿叶
🥭,0x1f96d,smiling-face-with-hearts,smiling face with hearts,笑脸与心
🥱,1F971,yawning-face,yawning face,打呵欠的脸
🥲,1F972,smiling-face-with-tear,smiling face with tear,含着泪水的笑脸
🥳,0x1f973,partying-face,partying face,派对脸
🥴,0x1f974,cold-face,cold face,冷脸
🥷,0x1f977,ninja,ninja,忍者
🥸,0x1f978,disguised-face,disguised face,伪装的脸
🥹,1F979,face-holding-back-tears,face holding back tears,强忍着泪水的脸
🥺,1F97A,pleading-face,pleading face,恳求的脸
🥻,1F97B,sari,sari,纱丽
🥼,0x1f97c,lab-coat,lab coat,实验工作服
🥽,0x1f97d,flat-shoe,flat shoe,平底鞋
🦀,0x1f980,crab,crab,螃蟹
🦁,0x1f981,unicorn,unicorn,独角兽
🦅,0x1f985,eagle,eagle,鹰
🦆,0x1f986,squid,squid,乌贼
🦒,0x1f992,giraffe,giraffe,长颈鹿
🦓,0x1f993,cricket,cricket,蟋蟀
🦘,0x1f998,kangaroo,kangaroo,袋鼠
🦙,0x1f999,swan,swan,天鹅
🦣,0x1f9a3,mammoth,mammoth,长毛象
🦤,0x1f9a4,dodo,dodo,渡渡鸟
🦥,0x1f9a5,sloth,sloth,树懒
🦦,0x1f9a6,oyster,oyster,牡蛎
🦫,0x1f9ab,beaver,beaver,海狸
🦬,0x1f9ac,seal,seal,海豹
🦮,0x1f9ae,guide-dog,guide dog,导盲犬
🦯,0x1f9af,white-cane,white cane,白手杖
🦰,0x1f9b0,red-hair,red hair,红发
🦱,0x1f9b1,supervillain,supervillain,超级恶棍
🦺,0x1f9ba,safety-vest,safety vest,安全背心
🦻,0x1f9bb,mechanical-leg,mechanical leg,机械腿
🧀,1F9C0,cheese-wedge,cheese wedge,奶酪角
🧁,0x1f9c1,cupcake,cupcake,纸杯蛋糕
🧂,0x1f9c2,salt,salt,盐
🧃,0x1f9c3,beverage-box,beverage box,饮料盒
🧄,0x1f9c4,ice,ice,冰
🧋,1F9CB,bubble-tea,bubble tea,珍珠奶茶
🧌,1F9CC,troll,troll,巨魔
🧍,0x1f9cd,person-standing,person standing,站着的人
🧎,0x1f9ce,deaf-person,deaf person,聋人
🧐,0x1f9d0,face-with-monocle,face with monocle,带单片眼镜的脸
🧑,0x1f9d1,socks,socks,袜子
🧧,0x1f9e7,red-envelope,red envelope,红信封
🧨,0x1f9e8,nazar-amulet,nazar amulet,纳扎尔护身符
🩰,0x1fa70,ballet-shoes,ballet shoes,芭蕾舞鞋
🩱,0x1fa71,shorts,shorts,短裤
🩴,1FA74,thong-sandal,thong sandal,人字拖凉鞋
🩵,0x1fa75,light-blue-heart,light blue heart,淡蓝色的心
🩶,0x1fa76,pink-heart,pink heart,粉红色的心
🩸,0x1fa78,drop-of-blood,drop of blood,一滴血
🩹,0x1fa79,stethoscope,stethoscope,听诊器
🩻,0x1fa7b,x-ray,x ray,X射线
🩼,0x1fa7c,crutch,crutch,拐杖
🪀,0x1fa80,yo-yo,yo yo,悠悠球
🪁,0x1fa81,parachute,parachute,降落伞
🪃,0x1fa83,boomerang,boomerang,回旋镖
🪄,0x1fa84,nesting-dolls,nesting dolls,嵌套娃娃
🪇,0x1fa87,maracas,maracas,马拉卡斯
🪈,0x1fa88,flute,flute,长笛
🪐,0x1fa90,ringed-planet,ringed planet,环行星
🪑,0x1fa91,banjo,banjo,班卓琴
🪖,0x1fa96,military-helmet,military helmet,军用头盔
🪗,0x1fa97,rock,rock,岩石
🪩,0x1faa9,mirror-ball,mirror ball,镜面球
🪪,0x1faaa,hamsa,hamsa,哈姆萨
🪭,0x1faad,folding-hand-fan,folding hand fan,折叠手扇
🪮,0x1faae,khanda,khanda,婴儿
🪰,0x1fab0,fly,fly,飞
🪱,0x1fab1,feather,feather,羽毛
🪷,0x1fab7,lotus,lotus,莲花
🪸,0x1fab8,nest-with-eggs,nest with eggs,与蛋筑巢
🪻,0x1fabb,hyacinth,hyacinth,风信子
🪼,0x1fabc,wing,wing,翅膀
🪿,1FABF,goose,goose,鹅
🫀,0x1fac0,anatomical-heart,anatomical heart,解剖心脏
🫁,0x1fac1,people-hugging,people hugging,人们拥抱
🫃,0x1fac3,pregnant-man,pregnant man,怀孕的男人
🫄,0x1fac4,person-with-crown,person with crown,戴皇冠的人
🫎,0x1face,moose,moose,驼鹿
🫏,0x1facf,donkey,donkey,驴
🫐,0x1fad0,blueberries,blueberries,蓝莓
🫑,0x1fad1,teapot,teapot,茶壶
🫗,0x1fad7,pouring-liquid,pouring liquid,倾倒液体
🫘,0x1fad8,jar,jar,罐
🫚,0x1fada,ginger-root,ginger root,姜根
🫛,0x1fadb,pea-pod,pea pod,头荚
🫠,0x1fae0,melting-face,melting face,融化的脸
🫡,0x1fae1,bubbles,bubbles,气泡
🫨,1FAE8,shaking-face,shaking face,摇脸
🫰,0x1faf0,hand-with-index-finger-and-thumb-crossed,hand with index finger and thumb crossed,食指和拇指交叉的手
🫱,0x1faf1,heart-hands,heart hands,心形手
🫷,0x1faf7,leftwards-pushing-hand,leftwards pushing hand,向左推手
🫸,0x1faf8,rightwards-pushing-hand,rightwards pushing hand,向右推手
©️,00A9 FE0F,copyright,copyright,版权
®️,00AE FE0F,registered,registered,挂号的
‼️,203C FE0F,double-exclamation-mark,double exclamation mark,双感叹号
⁉️,2049 FE0F,exclamation-question-mark,exclamation question mark,感叹号问号
™️,2122 FE0F,trade-mark,trade mark,商标
ℹ️,2139 FE0F,information,information,信息
↔️,2194 FE0F,left-right-arrow,left right arrow,左右箭头
↕️,2195 FE0F,up-down-arrow,up down arrow,向上向下箭头
↖️,2196 FE0F,up-left-arrow,up left arrow,左上箭头
↗️,2197 FE0F,up-right-arrow,up right arrow,右上箭头
↘️,2198 FE0F,down-right-arrow,down right arrow,右下箭头
↙️,2199 FE0F,down-left-arrow,down left arrow,左下箭头
↩️,21A9 FE0F,right-arrow-curving-left,right arrow curving left,右箭头向左弯曲
↪️,21AA FE0F,left-arrow-curving-right,left arrow curving right,左箭头向右弯曲
⌨️,2328 FE0F,keyboard,keyboard,键盘
⏱️,23F1 FE0F,stopwatch,stopwatch,跑表
⏲️,23F2 FE0F,timer-clock,timer clock,定时器时钟
Ⓜ️,24C2 FE0F,circled-M,circled M,圆圈中的M
▪️,25AA FE0F,black-small-square,black small square,黑色小方块
▫️,25AB FE0F,white-small-square,white small square,白色小方块
◻️,25FB FE0F,white-medium-square,white medium square,白色中方形
◼️,25FC FE0F,black-medium-square,black medium square,黑色中方形
☀️,2600 FE0F,sun,sun,太阳
☁️,2601 FE0F,cloud,cloud,云
☂️,2602 FE0F,umbrella,umbrella,伞
☃️,2603 FE0F,snowman,snowman,雪人
☄️,2604 FE0F,comet,comet,彗星
☎️,260E FE0F,telephone,telephone,电话
☑️,2611 FE0F,check-box-with-check,check box with check,带复选标记的复选框
☘️,2618 FE0F,shamrock,shamrock,三叶草
☝️,261D FE0F,index-pointing-up,index pointing up,索引向上
☠️,2620 FE0F,skull-and-crossbones,skull and crossbones,骷髅和交叉骨
☢️,2622 FE0F,radioactive,radioactive,放射性的
☣️,2623 FE0F,biohazard,biohazard,生物危害
☦️,2626 FE0F,orthodox-cross,orthodox cross,东正教十字架
☪️,262A FE0F,star-and-crescent,star and crescent,星星和新月
☮️,262E FE0F,peace-symbol,peace symbol,和平象征
☯️,262F FE0F,yin-yang,yin yang,yin yang
☸️,2638 FE0F,wheel-of-dharma,wheel of dharma,法轮
☹️,2639 FE0F,frowning-face,frowning face,皱眉的脸
☺️,263A FE0F,smiling-face,smiling face,微笑的面孔
♀️,2640 FE0F,female-sign,female sign,女性标志
♂️,2642 FE0F,male-sign,male sign,男性标志
♟️,265F FE0F,chess-pawn,chess pawn,国际象棋棋子
♠️,2660 FE0F,spade-suit,spade suit,黑桃花色
♣️,2663 FE0F,club-suit,club suit,俱乐部套装
♥️,2665 FE0F,heart-suit,heart suit,心形套装
♦️,2666 FE0F,diamond-suit,diamond suit,钻石套装
♨️,2668 FE0F,hot-springs,hot springs,温泉
♻️,267B FE0F,recycling-symbol,recycling symbol,回收符号
♾️,267E FE0F,infinity,infinity,无穷
⚒️,2692 FE0F,hammer-and-pick,hammer and pick,锤子和镐
⚔️,2694 FE0F,crossed-swords,crossed swords,交叉的剑
⚕️,2695 FE0F,medical-symbol,medical symbol,医学符号
⚖️,2696 FE0F,balance-scale,balance scale,天平秤
⚗️,2697 FE0F,alembic,alembic,蒸馏器
⚙️,2699 FE0F,gear,gear,齿轮
⚛️,269B FE0F,atom-symbol,atom symbol,原子符号
⚜️,269C FE0F,fleur-de-lis,fleur de lis,百合花
⚠️,26A0 FE0F,warning,warning,警告
⚧️,26A7 FE0F,transgender-symbol,transgender symbol,跨性别符号
⚰️,26B0 FE0F,coffin,coffin,棺材
⚱️,26B1 FE0F,funeral-urn,funeral urn,骨灰盒
⛈️,26C8 FE0F,cloud-with-lightning-and-rain,cloud with lightning and rain,云与闪电和雨
⛏️,26CF FE0F,pick,pick,挑选
⛑️,26D1 FE0F,rescue-worker’s-helmet,rescue worker’s helmet,救援人员的头盔
⛓️,26D3 FE0F,chains,chains,链条
⛩️,26E9 FE0F,shinto-shrine,shinto shrine,神社
⛰️,26F0 FE0F,mountain,mountain,山
⛱️,26F1 FE0F,umbrella-on-ground,umbrella on ground,地上的伞
⛴️,26F4 FE0F,ferry,ferry,渡船
⛷️,26F7 FE0F,skier,skier,滑雪者
⛸️,26F8 FE0F,ice-skate,ice skate,滑冰
⛹️,26F9 FE0F,person-bouncing-ball,person bouncing ball,人弹球
✂️,2702 FE0F,scissors,scissors,剪刀
✈️,2708 FE0F,airplane,airplane,飞机
